nids_a_excluir ,razon,fecha
58878513792,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59119438601,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58812928415,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59119580817,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59384119864,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58996594480,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58013800106,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58215541053,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58176235607,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58368764546,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59175604355,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59039778321,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58765115184,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58205270371,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58251918186,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59152202280,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58169548179,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59335031458,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
57970860455,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58499371943,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58833858157,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59131636118,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59343584418,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59310018368,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58181874983,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58658184269,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
57973060973,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59247129360,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
